place,x,y,z,yaw,amcl_x,amcl_y,amcl_yaw,
strip_4,410.424932080,-137.456629140,-0.421449376,-0.132568434,328.0,-253.1,-0.5270381012826445,
strip_5,521.204458633,-146.209378906,0.025319045,0.066450510,424.6,-309.9,1.219299549783222,
rotundan_1,-39.323709909,188.780447704,0.015695978,3.153086704,66.88222902882593,237.15084904414442,2.6669122624738266,
rotundan_2,-44.115646645,187.664768525,0.186430051,2.971983277,61.98302186238938,238.28776276470325,2.5292359130150435,
rotundan_3,-51.612208287,195.101135232,0.360500065,2.454245573,58.56347768828148,248.3315058816306,2.125965691098225,
rotundan_4,-61.487210369,199.215772037,0.310705334,1.760428289,51.84449325644657,256.44669997701624,1.2929036863610661,
rotundan_5,-49.989313837,210.064035771,0.048701375,-0.815200870,67.18577055028935,261.10498842955104,-1.302531007122484,
rotundan_6,-47.688516600,204.816802252,0.003990681,0.376388045,66.48372095125183,255.15226755588841,-0.08081776649369694,
rotundan_7,-42.264382425,205.540350222,0.082079189,-0.055404544,71.45019986139545,253.31061602701132,-0.3959296258332884,
rotundan_8,-35.256412470,200.635125772,0.034412107,3.585047793,75.65325787935234,245.80547839480658,-3.1071359209361256,
rotundan_9,-42.937588002,196.618634255,0.090604508,-1.116847074,66.9391053313046,245.72598972279457,-1.4583330751276973,
playground_0,131.140720467,10.610762318,-0.313679656,3.251065901,141.45934853163197,1.6903764981326466,2.745724085292143,
playground_1,122.122957830,14.413650406,-0.252753240,2.430642398,136.3763696371555,10.024536227894139,2.056666255132759,
playground_2,117.665082630,18.801081038,-0.111975471,2.358305466,133.47225015362054,15.298181007810925,1.8932704421115636,
playground_3,114.098060548,19.755725753,-0.014494957,2.087009470,130.7322777645212,17.991278406953157,1.6339734864393662,
playground_4,111.479455723,27.527632764,-0.188908157,1.803065563,131.76762412864224,25.671043631436476,1.3647711995938818,
playground_5,111.464153074,30.254755942,-0.292428872,3.044041181,133.29921446547996,28.521607491799863,2.5230464936737156,
playground_6,105.742847066,31.923019854,-0.260842538,1.604654412,128.48498476010423,32.068640902227,1.3471272486905468,
playground_7,108.312953334,35.838798556,-0.126800132,0.485061226,132.5953767234123,34.37393226232746,-0.03014784897918096,
playground_8,109.297643835,38.191778832,0.038665019,1.735701111,134.02462685701917,36.50409412838074,1.6639758607388173,
playground_9,110.437727716,39.895908825,-0.039102081,0.489021115,136.37789124655188,36.962889374121616,-0.13303209727596413,
playground_10,112.167568518,42.732246306,-0.039102027,0.579104909,139.2514195903388,38.73492164803346,0.07505575947917427,
playground_11,115.809195043,43.087154435,-0.039102103,-0.293319644,142.2115029394931,37.47144160431688,-0.6570314559441196,
playground_12,121.784495106,38.640705696,-0.146161557,1.186712573,145.74730263359933,31.106991684505516,0.6368803044650119,
playground_13,122.865092313,41.678326965,-0.008168652,1.123665060,147.88367373132314,33.723409691936496,0.7760558110387573,
playground_14,124.697918293,45.841002200,-0.153935095,0.466421780,151.49046869471783,36.330224577146524,-0.011412772620849472,
playground_15,133.961052885,44.819377670,-0.153935087,-0.105290601,159.05325260378757,31.403496442385315,-0.6968801227610194,
playground_16,137.946821570,40.563661075,-0.153935127,-1.600699399,160.72294975182135,25.93984879926437,-2.0687096457978824,
playground_17,133.950887832,33.422313650,-0.153935078,-0.668177358,153.8939322224418,21.31217200763844,-1.2035266253813321,
playground_18,145.715668575,28.331927180,-0.153935089,-0.977824454,161.62859276382645,11.554750125726201,-1.427268392875423,
playground_19,144.090855110,18.230567230,-0.153935106,4.102672753,155.72645719952726,3.066314978194018,-2.599898760015243,
playground_20,144.540392568,15.145576048,-0.004874230,-0.331278055,155.93829280695118,-1.1435093299234709,-0.7117660178761304,
playground_21,150.129782990,15.719397028,-0.204286678,0.848447344,162.6546878273443,-0.893808683421917,0.38317547728581414,
playground_22,158.814789677,28.323086624,0.177768722,1.455958703,171.9001854691543,5.478950243906721,0.9739852906417295,
playground_23,162.935037686,34.771758558,0.396716964,1.356179335,178.67434518944245,9.744806992639,0.7768349159578414,
playground_24,159.102594416,42.426611157,0.306871735,1.827365440,180.99263886820552,18.62414366878875,1.418155507060078,
playground_25,156.288148015,47.418157019,0.451755818,2.041490333,181.39544289439527,24.554138649369115,1.6317244321205664,
playground_26,142.979071952,58.682826165,0.630424669,2.785191094,173.63521243580925,39.66613706834087,2.416069086097862,
playground_27,131.351251906,59.721932944,0.701279911,3.341581848,163.5978919759883,44.957183879163345,3.0140022482922033,
playground_28,121.730648170,56.414554631,0.311486582,3.924748785,153.83825570593953,45.56384804012675,-2.8141799672156536,
road_to_spawn_0,-41.732421682,90.410843839,-0.210962357,-1.098645902,21.658341313774116,148.77245752597358,-1.4896216789287293,
road_to_spawn_1,-32.386701133,75.480477212,0.062302340,-0.724745462,23.59105703556163,131.91481307290587,-1.1434543083779414,
road_to_spawn_2,-29.857701192,61.973348088,0.242253777,-1.635471931,18.82454603539483,116.26597507752767,-2.167695413167246,
road_to_spawn_3,-27.270536902,51.506124123,0.317986007,-1.239958836,17.548374334097133,107.13877808677694,-1.660642359339209,
road_to_spawn_4,-22.236570892,41.329821440,0.465038398,-1.175252800,17.140306833978826,98.9853214294167,-1.6491647366062279,
road_to_spawn_5,-27.911681569,36.847943432,1.055028796,4.178943084,8.883296915017645,93.63869328725006,-2.7258840408689773,
road_to_spawn_6,-34.456675908,29.735612025,1.163230411,3.608440041,0.31221300819501546,91.36573126578448,3.105949912217456,
road_to_spawn_7,-49.892501875,21.123685616,1.040571211,3.533497341,-14.327472026201738,90.9716612007629,3.1167935531714943,
